Id,Fecha,Producto,Categoria,Canal,Cantidad,PrecioUnitario,CostoUnitario
1,2022-01-01,Teclado Mecánico,Accesorios,Mayorista,4,100,50
2,2022-01-01,Monitor 27",Electrónica,Mayorista,2,300,200
3,2022-01-01,Silla Ergonómica,Mobiliario,Tienda Física,3,250,150
4,2022-01-01,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
5,2022-01-01,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
6,2022-01-02,Escritorio,Mobiliario,Mayorista,1,400,250
7,2022-01-02,Monitor 27",Electrónica,Tienda Física,4,300,200
8,2022-01-03,Escritorio,Mobiliario,Online,1,400,250
9,2022-01-03,Escritorio,Mobiliario,Mayorista,2,400,250
10,2022-01-03,Silla Ergonómica,Mobiliario,Tienda Física,4,250,150
11,2022-01-03,Laptop Pro,Electrónica,Online,2,1200,900
12,2022-01-04,Escritorio,Mobiliario,Mayorista,2,400,250
13,2022-01-04,Laptop Pro,Electrónica,Tienda Física,3,1200,900
14,2022-01-04,Escritorio,Mobiliario,Mayorista,3,400,250
15,2022-01-04,Monitor 27",Electrónica,Mayorista,2,300,200
16,2022-01-04,Teclado Mecánico,Accesorios,Online,1,100,50
17,2022-01-05,Escritorio,Mobiliario,Online,3,400,250
18,2022-01-05,Mouse Inalámbrico,Accesorios,Mayorista,3,50,20
19,2022-01-05,Silla Ergonómica,Mobiliario,Online,4,250,150
20,2022-01-05,Monitor 27",Electrónica,Mayorista,1,300,200
21,2022-01-05,Laptop Pro,Electrónica,Online,3,1200,900
22,2022-01-06,Laptop Pro,Electrónica,Mayorista,2,1200,900
23,2022-01-07,Escritorio,Mobiliario,Online,1,400,250
24,2022-01-07,Mouse Inalámbrico,Accesorios,Tienda Física,4,50,20
25,2022-01-07,Laptop Pro,Electrónica,Mayorista,3,1200,900
26,2022-01-07,Teclado Mecánico,Accesorios,Online,3,100,50
27,2022-01-08,Escritorio,Mobiliario,Mayorista,3,400,250
28,2022-01-08,Mouse Inalámbrico,Accesorios,Mayorista,4,50,20
29,2022-01-08,Laptop Pro,Electrónica,Online,4,1200,900
30,2022-01-09,Mouse Inalámbrico,Accesorios,Online,3,50,20
31,2022-01-09,Laptop Pro,Electrónica,Tienda Física,4,1200,900
32,2022-01-10,Mouse Inalámbrico,Accesorios,Online,4,50,20
33,2022-01-10,Mouse Inalámbrico,Accesorios,Tienda Física,1,50,20
