ProductoID,NombreProducto,Categoria,SubCategoria,CostoBase,PrecioUnitario
P-0001,Decoración Modelo H70,Hogar,Decoración,178.20,391.99
P-0002,Cocina Modelo F27,Hogar,Cocina,375.35,300.52
P-0003,Camisas Modelo P12,Ropa,Camisas,82.89,834.48
P-0004,Accesorios Modelo O70,Ropa,Accesorios,157.92,651.39
P-0005,Teléfonos Modelo E44,Electrónica,Teléfonos,316.94,750.50
P-0006,Camisas Modelo F50,Ropa,Camisas,464.60,843.07
P-0007,Bebidas Modelo S55,Alimentos,Bebidas,305.82,671.75
P-0008,Bebidas Modelo Q96,Alimentos,Bebidas,284.88,173.65
P-0009,Calzado Modelo S52,Deportes,Calzado,147.02,54.26
P-0010,Ropa Deportiva Modelo G66,Deportes,Ropa Deportiva,161.37,413.64
P-0011,Calzado Modelo Q52,Deportes,Calzado,119.93,230.29
P-0012,Ropa Deportiva Modelo T63,Deportes,Ropa Deportiva,504.68,750.90
P-0013,Muebles Modelo V28,Hogar,Muebles,393.08,227.61
P-0014,Laptops Modelo J19,Electrónica,Laptops,120.97,279.19
P-0015,Pantalones Modelo J77,Ropa,Pantalones,327.92,839.97
P-0016,Decoración Modelo S85,Hogar,Decoración,385.75,362.85
P-0017,Congelados Modelo N95,Alimentos,Congelados,77.27,362.07
P-0018,Congelados Modelo Q56,Alimentos,Congelados,23.79,518.24
P-0019,Calzado Modelo J58,Deportes,Calzado,146.13,285.14
P-0020,Accesorios Modelo B95,Ropa,Accesorios,400.70,525.72
P-0021,Pantalones Modelo J31,Ropa,Pantalones,262.59,517.70
P-0022,Snacks Modelo N61,Alimentos,Snacks,388.01,121.94
P-0023,Equipamiento Modelo W82,Deportes,Equipamiento,263.79,345.99
P-0024,Calzado Modelo E67,Deportes,Calzado,385.60,711.70
P-0025,Bebidas Modelo L73,Alimentos,Bebidas,336.74,616.78
P-0026,Teléfonos Modelo W55,Electrónica,Teléfonos,381.95,537.16
P-0027,Teléfonos Modelo C28,Electrónica,Teléfonos,204.46,263.13
P-0028,Muebles Modelo G32,Hogar,Muebles,233.37,247.29
P-0029,Cocina Modelo L64,Hogar,Cocina,257.10,386.02
P-0030,Cocina Modelo I56,Hogar,Cocina,448.84,483.75
P-0031,Congelados Modelo P36,Alimentos,Congelados,40.47,281.57
P-0032,Snacks Modelo E15,Alimentos,Snacks,114.51,413.34
P-0033,Camisas Modelo H25,Ropa,Camisas,158.37,707.22
P-0034,Pantalones Modelo Z62,Ropa,Pantalones,347.25,846.99
P-0035,Calzado Modelo W91,Deportes,Calzado,157.41,580.48
P-0036,Congelados Modelo L55,Alimentos,Congelados,378.51,611.92
P-0037,Congelados Modelo E90,Alimentos,Congelados,284.10,334.47
P-0038,Snacks Modelo N95,Alimentos,Snacks,307.69,390.53
P-0039,Calzado Modelo B93,Deportes,Calzado,193.18,342.60
P-0040,Muebles Modelo R42,Hogar,Muebles,14.16,105.36
P-0041,Ropa Deportiva Modelo P54,Deportes,Ropa Deportiva,284.41,705.72
P-0042,Congelados Modelo M18,Alimentos,Congelados,37.80,361.75
P-0043,Teléfonos Modelo Y33,Electrónica,Teléfonos,360.39,521.14
P-0044,Accesorios Modelo J80,Ropa,Accesorios,207.47,175.16
P-0045,Pantalones Modelo E90,Ropa,Pantalones,76.26,585.29
P-0046,Laptops Modelo C57,Electrónica,Laptops,398.41,449.12
P-0047,Snacks Modelo D88,Alimentos,Snacks,495.41,288.84
P-0048,Accesorios Modelo Z63,Ropa,Accesorios,206.44,473.40
P-0049,Calzado Modelo H27,Deportes,Calzado,430.61,622.79
P-0050,Snacks Modelo M88,Alimentos,Snacks,439.93,406.88
P-0051,Ropa Deportiva Modelo T20,Deportes,Ropa Deportiva,190.75,533.16
P-0052,Muebles Modelo F96,Hogar,Muebles,388.62,340.93
P-0053,Bebidas Modelo I31,Alimentos,Bebidas,444.80,373.39
P-0054,Equipamiento Modelo O36,Deportes,Equipamiento,259.59,324.90
P-0055,Accesorios Modelo L17,Ropa,Accesorios,112.82,260.72
P-0056,Audio Modelo J43,Electrónica,Audio,257.71,128.84
P-0057,Congelados Modelo Z89,Alimentos,Congelados,137.29,696.75
P-0058,TV Modelo R80,Electrónica,TV,392.72,168.62
P-0059,Decoración Modelo I19,Hogar,Decoración,369.67,791.54
P-0060,Accesorios Modelo B18,Ropa,Accesorios,166.91,241.29
P-0061,Pantalones Modelo P96,Ropa,Pantalones,329.09,441.59
P-0062,Decoración Modelo W45,Hogar,Decoración,16.33,317.28
P-0063,Muebles Modelo M92,Hogar,Muebles,184.92,134.79
P-0064,Congelados Modelo A29,Alimentos,Congelados,308.92,378.64
P-0065,Muebles Modelo M63,Hogar,Muebles,505.63,529.46
P-0066,Muebles Modelo Y91,Hogar,Muebles,266.84,456.20
P-0067,Muebles Modelo Y87,Hogar,Muebles,35.63,815.39
P-0068,Calzado Modelo Z48,Deportes,Calzado,181.37,303.34
P-0069,Equipamiento Modelo Q89,Deportes,Equipamiento,503.50,515.46
P-0070,Muebles Modelo F78,Hogar,Muebles,281.86,520.91
P-0071,Bebidas Modelo D86,Alimentos,Bebidas,162.60,52.81
P-0072,Camisas Modelo A40,Ropa,Camisas,279.40,173.17
P-0073,Pantalones Modelo H25,Ropa,Pantalones,374.21,279.88
P-0074,Camisas Modelo B32,Ropa,Camisas,37.47,318.26
P-0075,Decoración Modelo T14,Hogar,Decoración,334.64,711.85
P-0076,Bebidas Modelo S80,Alimentos,Bebidas,446.44,392.31
P-0077,Accesorios Modelo R17,Ropa,Accesorios,305.59,740.59
P-0078,Accesorios Modelo V27,Ropa,Accesorios,253.23,110.72
P-0079,Snacks Modelo J14,Alimentos,Snacks,214.74,598.84
P-0080,Pantalones Modelo P69,Ropa,Pantalones,259.34,436.63
P-0081,Audio Modelo F15,Electrónica,Audio,256.19,426.11
P-0082,Laptops Modelo Q88,Electrónica,Laptops,33.93,82.17
P-0083,Pantalones Modelo W60,Ropa,Pantalones,91.93,604.06
P-0084,Bebidas Modelo I84,Alimentos,Bebidas,144.84,214.01
P-0085,Bebidas Modelo K13,Alimentos,Bebidas,265.81,574.36
P-0086,Camisas Modelo Y86,Ropa,Camisas,256.67,112.12
P-0087,Cocina Modelo D22,Hogar,Cocina,126.79,210.97
P-0088,Equipamiento Modelo I29,Deportes,Equipamiento,356.92,298.09
P-0089,Snacks Modelo D19,Alimentos,Snacks,85.41,94.19
P-0090,Calzado Modelo T10,Deportes,Calzado,446.57,577.16
P-0091,Muebles Modelo L72,Hogar,Muebles,80.73,644.97
P-0092,Accesorios Modelo W37,Ropa,Accesorios,493.52,763.23
P-0093,Decoración Modelo Q49,Hogar,Decoración,307.13,765.58
P-0094,Congelados Modelo V87,Alimentos,Congelados,191.00,582.95
P-0095,Muebles Modelo L75,Hogar,Muebles,369.95,771.65
P-0096,Audio Modelo R97,Electrónica,Audio,134.90,369.70
P-0097,Calzado Modelo F58,Deportes,Calzado,149.79,409.85
P-0098,Snacks Modelo P67,Alimentos,Snacks,232.45,348.62
P-0099,Ropa Deportiva Modelo P86,Deportes,Ropa Deportiva,48.59,538.89
P-0100,Equipamiento Modelo Y45,Deportes,Equipamiento,222.04,253.63
P-0101,Congelados Modelo B79,Alimentos,Congelados,503.24,284.40
P-0102,Cocina Modelo Z21,Hogar,Cocina,29.37,577.31
P-0103,TV Modelo G36,Electrónica,TV,411.77,298.70
P-0104,Cocina Modelo A83,Hogar,Cocina,446.78,81.89
P-0105,TV Modelo S41,Electrónica,TV,107.71,800.31
