id,fecha,pais,ciudad,latitud,longitud,categoria,subcategoria,ventas,costo,ganancia,satisfaccion_cliente,tiempo_entrega
1,2023-06-20,Argentina,Buenos Aires,-34.6037,-58.3816,Electronica,Monitores,3731,1652,2079,7.4,4
2,2023-09-22,Canada,Vancouver,49.2827,-123.1207,Software,Ofimatica,2761,1594,1167,7.1,1
3,2023-07-14,Germany,Berlin,52.52,13.405,Servicios,Consultoria,2808,1560,1248,5.6,7
4,2023-10-14,United States,Los Angeles,34.0522,-118.2437,Ropa,Zapatos,3884,2657,1227,9.6,1
5,2023-07-16,Italy,Rome,41.9028,12.4964,Electronica,Laptops,364,278,86,5.8,8
6,2023-09-11,India,Delhi,28.7041,77.1025,Muebles,Sofas,3592,2795,797,8.9,12
7,2023-05-31,France,Paris,48.8566,2.3522,Ropa,Camisas,3457,2113,1344,5.5,14
8,2023-11-29,Japan,Tokyo,35.6762,139.6503,Software,Diseno,1781,1143,638,6.7,1
9,2023-01-05,Australia,Sydney,-33.8688,151.2093,Ropa,Chaquetas,702,449,253,6.3,4
10,2023-01-16,Australia,Sydney,-33.8688,151.2093,Muebles,Sofas,607,330,277,5.8,13
11,2023-12-08,Brazil,Sao Paulo,-23.5505,-46.6333,Servicios,Consultoria,3798,2795,1003,6.0,4
12,2023-11-14,Brazil,Sao Paulo,-23.5505,-46.6333,Ropa,Pantalones,2490,1079,1411,7.5,10
13,2023-08-22,United States,New York,40.7128,-74.006,Ropa,Chaquetas,2878,1756,1122,5.4,2
14,2023-06-06,United States,New York,40.7128,-74.006,Ropa,Zapatos,3898,2297,1601,7.9,4
15,2023-12-06,India,Delhi,28.7041,77.1025,Software,Ofimatica,2598,2007,591,8.0,2
16,2023-10-30,United States,Los Angeles,34.0522,-118.2437,Servicios,Garantia,1796,1168,628,6.5,5
17,2023-12-14,India,Delhi,28.7041,77.1025,Muebles,Sofas,3291,2285,1006,6.4,1
18,2023-11-17,Australia,Sydney,-33.8688,151.2093,Muebles,Camas,3403,2085,1318,6.8,1
19,2023-11-03,United States,Chicago,41.8781,-87.6298,Software,Antivirus,2859,1523,1336,8.3,9
20,2023-01-07,Argentina,Buenos Aires,-34.6037,-58.3816,Ropa,Zapatos,450,199,251,10.0,6
21,2023-03-16,United States,Los Angeles,34.0522,-118.2437,Muebles,Camas,3819,2233,1586,8.3,1
22,2023-04-05,Canada,Vancouver,49.2827,-123.1207,Software,Antivirus,1463,664,799,6.5,4
23,2023-11-09,India,Delhi,28.7041,77.1025,Software,Ofimatica,2070,1323,747,8.7,11
24,2023-05-01,Germany,Munich,48.1351,11.582,Servicios,Soporte,3534,1718,1816,6.4,5
25,2023-06-04,Mexico,Mexico City,19.4326,-99.1332,Electronica,Telefonos,1762,922,840,7.6,7
26,2023-02-16,South Africa,Cape Town,-33.9249,18.4241,Ropa,Pantalones,1422,925,497,9.1,5
27,2023-05-23,Japan,Osaka,34.6937,135.5023,Software,Antivirus,1681,897,784,8.6,10
28,2023-10-09,Australia,Sydney,-33.8688,151.2093,Servicios,Instalacion,380,205,175,9.6,3
29,2023-07-19,France,Paris,48.8566,2.3522,Electronica,Telefonos,205,109,96,9.5,10
30,2023-08-02,United States,New York,40.7128,-74.006,Electronica,Laptops,182,132,50,8.3,7
31,2023-06-28,Germany,Munich,48.1351,11.582,Muebles,Sofas,1040,457,583,8.9,11
32,2023-04-23,Spain,Madrid,40.4168,-3.7038,Muebles,Camas,1850,858,992,9.2,7
33,2023-11-18,Canada,Toronto,43.651,-79.347,Ropa,Zapatos,3477,2657,820,7.4,7
34,2023-06-15,Spain,Madrid,40.4168,-3.7038,Servicios,Soporte,2951,1892,1059,7.0,14
35,2023-12-26,United States,Los Angeles,34.0522,-118.2437,Servicios,Instalacion,3720,2249,1471,7.6,7
36,2023-09-08,Spain,Barcelona,41.3851,2.1734,Ropa,Camisas,311,217,94,5.3,1
37,2023-04-30,United States,Chicago,41.8781,-87.6298,Software,Ofimatica,220,109,111,6.8,4
38,2023-02-10,Brazil,Sao Paulo,-23.5505,-46.6333,Electronica,Tablets,2869,1811,1058,8.6,5
39,2023-06-27,South Africa,Cape Town,-33.9249,18.4241,Electronica,Telefonos,1587,1028,559,9.8,10
40,2023-07-26,Germany,Berlin,52.52,13.405,Electronica,Laptops,336,169,167,9.8,3
41,2023-10-20,Spain,Madrid,40.4168,-3.7038,Servicios,Consultoria,3212,1473,1739,9.4,3
42,2023-06-25,Japan,Osaka,34.6937,135.5023,Muebles,Sofas,4053,2884,1169,6.9,10
43,2023-09-04,United States,Chicago,41.8781,-87.6298,Electronica,Tablets,2627,1314,1313,5.1,2
44,2023-08-27,Brazil,Rio de Janeiro,-22.9068,-43.1729,Ropa,Camisas,2236,1269,967,7.0,9
